"v1";"v2";"v3";"v4";"v5";"v6";"v7";"v8";"v9";"v10";"v11";"v12";"v13";"v14";"v15";"v17";"v18";"v19";"classLabel"
"a";17,92;5,4e-05;"u";"g";"c";"v";1,75;"f";"t";1;"t";"g";80;5;8e+05;"t";0;"no."
"b";16,92;3,35e-05;"y";"p";"k";"v";0,29;"f";"f";0;"f";"s";200;0;2e+06;NA;0;"no."
"b";31,25;0,0001125;"u";"g";"ff";"ff";0;"f";"t";1;"f";"g";96;19;960000;"t";0;"no."
"a";48,17;0,0001335;"u";"g";"i";"o";0,335;"f";"f";0;"f";"g";0;120;0;NA;0;"no."
"b";32,33;0,00035;"u";"g";"k";"v";0,5;"f";"f";0;"t";"g";232;0;2320000;"f";0;"no."
"a";34,83;0,000125;"y";"p";"i";"h";0,5;"f";"f";0;"t";"g";160;0;1600000;"f";0;"no."
"a";26,17;2e-04;"u";"g";"j";"j";0;"f";"f";0;"t";"g";276;1;2760000;NA;0;"no."
"b";21,17;8,75e-05;"y";"p";"c";"h";0,25;"f";"f";0;"f";"g";280;204;2800000;NA;0;"no."
"b";28,92;3,75e-05;"u";"g";"c";"v";0,29;"f";"f";0;"f";"g";220;140;2200000;NA;0;"no."
"b";18,17;0,001025;"u";"g";"c";"h";1,085;"f";"f";0;"f";"g";320;13;3200000;NA;0;"no."
"a";24,75;0,0013665;"u";"g";"q";"h";1,5;"f";"f";0;"f";"g";280;1;2800000;"f";0;"no."
"a";31,75;3e-04;"y";"p";"j";"j";0;"f";"f";0;"f";"g";160;20;1600000;"f";0;"no."
"a";18,17;0,001;"y";"p";"q";"h";0,165;"f";"f";0;"f";"g";340;0;3400000;"f";0;"no."
"a";18,25;0,001;"u";"g";"W";"v";1;"f";"t";1;"f";"g";120;1;1200000;NA;0;"no."
"b";17,58;0,001;"u";"g";"W";"h";0,165;"f";"t";1;"f";"g";120;1;1200000;"t";0;"no."
"b";51,83;0,000204;"y";"p";"ff";"ff";1,5;"f";"f";0;"f";"g";120;1;1200000;NA;0;"no."
"b";26,67;0,0014585;"u";"g";"i";"bb";0;"f";"f";0;"t";"g";178;0;1780000;"f";0;"no."
"b";31,42;0,00155;"u";"g";"c";"v";0,5;"t";"f";0;"f";"g";120;0;1200000;"f";0;"no."
"b";25,67;0,000325;"u";"g";"c";"h";2,29;"f";"t";1;"t";"g";416;21;4160000;"t";0;"no."
"b";33,75;0,000275;"u";"g";"i";"bb";0;"f";"f";0;"f";"g";180;0;1800000;"f";0;"no."
"b";32,75;0,0002335;"u";"g";"d";"h";5,75;"f";"f";0;"t";"g";292;0;2920000;"f";0;"no."
"b";39,83;5e-05;"u";"g";"m";"v";0,25;"t";"f";0;"f";"s";288;0;2880000;NA;0;"no."
"a";40,33;0,0008125;"y";"p";"k";"v";0,165;"f";"t";2;"f";"g";NA;18;NA;NA;0;"no."
"b";35,25;0,00165;"y";"p";"c";"v";4;"t";"f";0;"f";"g";80;0;8e+05;NA;0;"no."
"a";24,33;0,00025;"y";"p";"i";"bb";4,5;"f";"f";0;"f";"g";200;456;2e+06;"f";0;"no."
"a";15,75;3,75e-05;"u";"g";"c";"v";1;"f";"f";0;"f";"g";120;18;1200000;"f";0;"no."
"a";45;0,0004585;"u";"g";"k";"h";1;"f";"f";0;"t";"s";240;0;2400000;NA;0;"no."
"a";30,42;0,0001375;"u";"g";"W";"h";0,04;"f";"t";3;"f";"g";0;33;0;NA;0;"no."
"a";NA;0,00035;"u";"g";"d";"v";3;"t";"f";0;"t";"g";300;0;3e+06;NA;0;"no."
"b";17,25;3e-04;"u";"g";"k";"v";0,04;"f";"f";0;"t";"g";160;40;1600000;NA;0;"no."
"a";38,58;5e-04;"u";"g";"cc";"v";13,5;"t";"f";0;"t";"g";980;0;9800000;NA;0;"no."
