"v1","v2","v3","v4","v6","v7","v8","v9","v10","v11","v12","v14","v15","classLabel"
"a",-1.1977582065652523,-0.99797122832903,"u","c","v",-0.3972602739726028,"f","t",1,"t",80,5,"no."
"b",-1.277822257806245,-1.0357801549243821,"y","k","v",-0.7305936073059361,"f","f",0,"f",200,0,"no."
"b",-0.13050440352281845,-0.8900774621910735,"u","ff","ff",-0.7968036529680366,"f","t",1,"f",96,19,"no."
"a",1.2241793434747796,-0.8513463666543711,"u","i","o",-0.7203196347031964,"f","f",0,"f",0,120,"no."
"b",-0.044035228182546376,-0.45204721504979717,"u","k","v",-0.6826484018264841,"f","f",0,"t",232,0,"no."
"a",0.1561248999199356,-0.8670232386573221,"y","i","h",-0.6826484018264841,"f","f",0,"t",160,0,"no."
"a",-0.5372297838270617,-0.7286978974548138,"u","j","j",-0.7968036529680366,"f","f",0,"t",276,1,"no."
"b",-0.9375500400320257,-0.9361859092585763,"y","c","h",-0.7397260273972603,"f","f",0,"f",280,204,"no."
"b",-0.3170536429143315,-1.0284028033935817,"u","c","v",-0.7305936073059361,"f","f",0,"f",220,140,"no."
"b",-1.177742193755004,0.7928808557727778,"u","c","h",-0.5490867579908677,"f","f",0,"f",320,13,"no."
"a",-0.6509207365892716,1.4227222427148656,"u","q","h",-0.45433789954337905,"f","f",0,"f",280,1,"no."
"a",-0.09047237790232206,-0.5442641091848027,"y","j","j",-0.7968036529680366,"f","f",0,"f",160,20,"no."
"a",-1.177742193755004,0.746772408705275,"y","q","h",-0.7591324200913243,"f","f",0,"f",340,0,"no."
"a",-1.1713370696557248,0.746772408705275,"u","W","v",-0.5684931506849316,"f","t",1,"f",120,1,"no."
"b",-1.22497998398719,0.746772408705275,"u","W","h",-0.7591324200913243,"f","t",1,"f",120,1,"no."
"b",1.517213771016813,-0.7213205459240134,"y","ff","ff",-0.45433789954337905,"f","f",0,"f",120,1,"no."
"b",-0.4971977582065653,1.5924013279232756,"u","i","bb",-0.7968036529680366,"f","f",0,"t",178,0,"no."
"b",-0.11689351481184955,1.7611582441903357,"u","c","v",-0.6826484018264841,"t","f",0,"f",120,0,"no."
"b",-0.5772618094475581,-0.49815566211729995,"u","c","h",-0.27397260273972607,"f","t",1,"t",416,21,"no."
"b",0.06965572457966353,-0.5903725562523054,"u","i","bb",-0.7968036529680366,"f","f",0,"f",180,0,"no."
"b",-0.010408326661329268,-0.6669125783843601,"u","d","h",0.5159817351598173,"f","f",0,"t",292,0,"no."
"b",0.5564451561248995,-1.0053485798598303,"u","m","v",-0.7397260273972603,"t","f",0,"f",288,0,"no."
"b",0.18975180144115272,1.945592032460347,"y","c","v",0.11643835616438351,"t","f",0,"f",80,0,"no."
"a",-0.6845476381104887,-0.6364810033198082,"y","i","bb",0.23059360730593603,"f","f",0,"f",200,456,"no."
"a",-1.3714971977582067,-1.0284028033935817,"u","c","v",-0.5684931506849316,"f","f",0,"f",120,18,"no."
"a",0.9703763010408324,-0.2519365547768352,"u","k","h",-0.5684931506849316,"f","f",0,"t",240,0,"no."
"a",-0.19695756605284234,-0.8439690151235706,"u","W","h",-0.7876712328767124,"f","t",3,"f",0,33,"no."
"b",-1.2514011208967175,-0.5442641091848027,"u","k","v",-0.7876712328767124,"f","f",0,"t",160,40,"no."
"a",0.45636509207365855,-0.1753965326447805,"u","cc","v",2.2853881278538815,"t","f",0,"t",980,0,"no."
"b",-0.8174539631705365,-0.9592401327923277,"u","i","v",-0.43493150684931514,"f","t",1,"t",400,9,"no."
"a",1.2906325060048036,-0.8209147915898194,"u","j","j",-0.7968036529680366,"t","f",0,"t",100,27,"no."
"b",-0.4043234587670139,-0.8209147915898194,"u","W","v",-0.28310502283105027,"f","t",1,"t",100,3,"no."
"a",-1.3114491593274622,-0.8670232386573221,"u","q","v",-0.7397260273972603,"f","t",1,"f",108,98,"no."
"b",-0.5772618094475581,-0.6899668019181114,"y","aa","v",0.11643835616438351,"t","f",0,"f",188,0,"no."
"b",0.30344275420336264,-0.7286978974548138,"u","i","v",-0.7397260273972603,"f","f",0,"t",221,0,"no."
"b",-0.5372297838270617,-0.9435632607893767,"u","cc","v",-0.5308219178082192,"f","f",0,"f",100,0,"no."
"a",1.1505204163330662,-0.9592401327923277,"u","q","h",-0.16894977168949776,"t","t",1,"f",333,892,"yes."
"a",0.06325060048038424,-1.0284028033935817,"u","cc","v",-0.7111872146118722,"f","f",0,"f",300,44,"yes."
"b",0.9703763010408324,0.47012172630025817,"u","cc","h",2.3995433789954337,"t","t",1,"t",88,2000,"yes."
"b",0.02321857485988784,-0.9057543341940243,"u","r","h",0.687214611872146,"t","f",0,"t",164,31285,"yes."
"a",-0.6309047237790234,-0.9361859092585763,"u","x","h",-0.5593607305936074,"t","f",0,"t",160,5860,"yes."
"b",-0.4971977582065653,-0.7748063445223164,"y","c","v",-0.5684931506849316,"t","t",5,"t",160,5777,"yes."
"b",1.2506004803843072,-0.3137218738472889,"u","m","v",-0.7682648401826485,"t","f",0,"t",225,0,"yes."
"b",0.3634907926341072,-0.7213205459240134,"u","W","v",-0.7876712328767124,"t","f",0,"t",400,5800,"yes."
"b",-1.191353082465973,-1.067133898930284,"u","q","n",-0.7488584474885845,"f","f",0,"f",200,40,"yes."
"a",1.8911128903122496,1.8533751383253414,"u","j","ff",-0.7968036529680366,"t","t",15,"f",0,247,"yes."
"b",-0.5708566853482788,-1.0053485798598303,"u","c","v",-0.46347031963470325,"t","t",5,"t",312,0,"yes."
