"v1","v2","v3","v7","v8","v9","v10","v11","v12","v15","classLabel"
"a",-1.1977582065652523,-0.99797122832903,"v",-0.3972602739726028,"f","t",1,"t",5,"no."
"b",-1.277822257806245,-1.0357801549243821,"v",-0.7305936073059361,"f","f",0,"f",0,"no."
"b",-0.13050440352281845,-0.8900774621910735,"ff",-0.7968036529680366,"f","t",1,"f",19,"no."
"a",1.2241793434747796,-0.8513463666543711,"o",-0.7203196347031964,"f","f",0,"f",120,"no."
"b",-0.044035228182546376,-0.45204721504979717,"v",-0.6826484018264841,"f","f",0,"t",0,"no."
"a",0.1561248999199356,-0.8670232386573221,"h",-0.6826484018264841,"f","f",0,"t",0,"no."
"a",-0.5372297838270617,-0.7286978974548138,"j",-0.7968036529680366,"f","f",0,"t",1,"no."
"b",-0.9375500400320257,-0.9361859092585763,"h",-0.7397260273972603,"f","f",0,"f",204,"no."
"b",-0.3170536429143315,-1.0284028033935817,"v",-0.7305936073059361,"f","f",0,"f",140,"no."
"b",-1.177742193755004,0.7928808557727778,"h",-0.5490867579908677,"f","f",0,"f",13,"no."
"a",-0.6509207365892716,1.4227222427148656,"h",-0.45433789954337905,"f","f",0,"f",1,"no."
"a",-0.09047237790232206,-0.5442641091848027,"j",-0.7968036529680366,"f","f",0,"f",20,"no."
"a",-1.177742193755004,0.746772408705275,"h",-0.7591324200913243,"f","f",0,"f",0,"no."
"a",-1.1713370696557248,0.746772408705275,"v",-0.5684931506849316,"f","t",1,"f",1,"no."
"b",-1.22497998398719,0.746772408705275,"h",-0.7591324200913243,"f","t",1,"f",1,"no."
"b",1.517213771016813,-0.7213205459240134,"ff",-0.45433789954337905,"f","f",0,"f",1,"no."
"b",-0.4971977582065653,1.5924013279232756,"bb",-0.7968036529680366,"f","f",0,"t",0,"no."
"b",-0.11689351481184955,1.7611582441903357,"v",-0.6826484018264841,"t","f",0,"f",0,"no."
"b",-0.5772618094475581,-0.49815566211729995,"h",-0.27397260273972607,"f","t",1,"t",21,"no."
"b",0.06965572457966353,-0.5903725562523054,"bb",-0.7968036529680366,"f","f",0,"f",0,"no."
"b",-0.010408326661329268,-0.6669125783843601,"h",0.5159817351598173,"f","f",0,"t",0,"no."
"b",0.5564451561248995,-1.0053485798598303,"v",-0.7397260273972603,"t","f",0,"f",0,"no."
"b",0.18975180144115272,1.945592032460347,"v",0.11643835616438351,"t","f",0,"f",0,"no."
